seq	kingdom	phylum	class	order	family	genus	species
seq_1028	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium verrucosum
seq_1063	Plantae	Chlorophyta	Trebouxiophyceae	Prasiolales	NA	Elliptochloris	Elliptochloris subsphaerica
seq_1068	Plantae	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Trebouxia	Trebouxia sp.
seq_1074	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinidium	Phellinidium ferrugineofuscum
seq_1077	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Sydowia	Sydowia polyspora
seq_1104	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium sphaerospermum
seq_1142	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	Clitocybe subditopoda
seq_1329	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus sp.
seq_1388	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fumigatus
seq_1396	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Polyozellus	Polyozellus multiplex
seq_1491	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Pseudoperonospora	Pseudoperonospora cubensis
seq_1494	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium sp.
seq_1495	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum sp.
seq_1622	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Coccinella	Coccinella septempunctata
seq_1632	Animalia	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus
seq_1669	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Apiospora	Apiospora arundinis
seq_1747	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyricularia	Pyricularia oryzae
seq_1773	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Blumeria	Blumeria graminis
seq_1817	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella sp.
seq_1885	Fungi	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Phialocephala	Phialocephala sp.
seq_1941	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Collybia	Collybia tuberosa
seq_1994	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus tomentosus
seq_1999	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	Psathyrella hydrophila
seq_2003	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	Clitocybe sp.
seq_2013	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium glabrum
seq_2027	Animalia	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
seq_2032	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma inamoenum
seq_2085	Animalia	Arthropoda	Insecta	Coleoptera	Dermestidae	Dermestes	Dermestes lardarius
seq_2090	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Lyophyllum	Lyophyllum decastes
seq_2097	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholomopsis	Tricholomopsis decora
seq_2130	Animalia	Arthropoda	Insecta	Psocodea	Psyllipsocidae	Dorypteryx	Dorypteryx domestica
seq_2138	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Psorophora	Psorophora longipalpus
seq_2142	Animalia	Arthropoda	Arachnida	Trombidiformes	Phytoptidae	Nalepella	Nalepella brewerianae
seq_2144	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus
seq_2164	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium solitum
seq_2165	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps farinosa
seq_2208	Animalia	Arthropoda	Insecta	Coleoptera	Dermestidae	Anthrenus	Anthrenus museorum
seq_2217	Chromista	Oomycota	Peronosporea	Albuginales	Albuginaceae	Albugo	Albugo candida
seq_2230	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	Peronospora lamii
seq_2241	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Hyaloperonospora	Hyaloperonospora sp.
seq_2243	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe sp.
seq_2248	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Mycetoporus	Mycetoporus lepidus
seq_2255	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Atolmis	Atolmis rubricollis
seq_2261	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Urnula	Urnula craterium
seq_2270	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Hyaloperonospora	Hyaloperonospora parasitica
seq_2271	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	Peronospora ficariae
seq_2272	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Paraphaenocladius	Paraphaenocladius impensus
seq_2293	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	Peronospora calotheca
seq_2322	Fungi	Ascomycota	Leotiomycetes	Helotiales	Calloriaceae	Leohumicola	Leohumicola sp.
seq_2395	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium polonicum
seq_2419	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Hyaloperonospora	Hyaloperonospora nasturtii-aquatici
seq_2434	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	Peronospora polygoni
seq_2463	Animalia	Arthropoda	Arachnida	Mesostigmata	Phytoseiidae	Neoseiulella	Neoseiulella tiliarum
seq_2485	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermaceae	Gonatophragmium	Gonatophragmium mori
seq_2500	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dialonectria	Dialonectria episphaeria
seq_2514	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus giganteus
seq_2520	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	Peronospora aparines
seq_2547	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes cantans
seq_2557	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora sp.
seq_2619	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium expansum
seq_2621	Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus	Turdus merula
seq_2748	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Sciurus	Sciurus vulgaris
seq_2841	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Euceraphis	Euceraphis sp.
seq_2869	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium canescens
seq_2904	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum salicis
seq_2928	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus puulaauensis
seq_2949	Animalia	Arthropoda	Insecta	Psocodea	Liposcelididae	Liposcelis	Liposcelis sp.
seq_3003	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Issatchenkia	Issatchenkia orientalis
seq_3025	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	Peronospora ervi
seq_3031	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium digitatum
seq_3044	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	Peronospora paula
seq_3141	Animalia	Arthropoda	Malacostraca	Cumacea	Nannastacidae	Campylaspis	Campylaspis sulcata
seq_3147	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium anthropophilum
seq_3220	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cosmospora	Cosmospora meliolopsidicola
seq_3246	Chromista	Haptophyta	Prymnesiophyceae	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
seq_3262	Animalia	Arthropoda	Insecta	Psocodea	Caeciliusidae	Valenzuela	Valenzuela sp.
seq_3281	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Leccinum	Leccinum vulpinum
seq_3351	Animalia	Chordata	Aves	Columbiformes	Columbidae	Columba	Columba palumbus
seq_3355	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Sorex	Sorex araneus
seq_3399	Animalia	Arthropoda	Collembola	Entomobryomorpha	Entomobryidae	Entomobrya	Entomobrya nivalis
seq_3427	Animalia	Arthropoda	Insecta	Hemiptera	Pentatomidae	Nezara	Nezara viridula
seq_3476	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Elatobium	Elatobium abietinum
seq_3493	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe miniata
seq_3499	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	Peronospora farinosa
seq_3550	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus corax
seq_3604	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Anoecia	Anoecia sp.
seq_3640	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma sp.
seq_3666	Protozoa	Amoebozoa	Discosea	Himatismenida	Cochliopodiidae	Cochliopodium	Cochliopodium sp.
seq_3702	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sp.
seq_3716	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Taiwanofungus	Taiwanofungus camphoratus
seq_3807	Animalia	Chordata	Aves	Passeriformes	Regulidae	Regulus	Regulus regulus
seq_3929	Animalia	Arthropoda	Insecta	Diptera	Psychodidae	Psychoda	Psychoda cinerea
seq_3950	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius violaceus
seq_3963	Animalia	Arthropoda	Insecta	Diptera	Sarcophagidae	Mecynocorpus	Mecynocorpus salvum
seq_4042	Animalia	Arthropoda	Arachnida	Sarcoptiformes	Damaeidae	Damaeus	Damaeus clavipes
seq_4053	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora bantiana
seq_4064	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Stereocaulaceae	Lepraria	Lepraria sp.
seq_4078	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium allicinum
seq_4141	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	Stachybotrys sp.
seq_4168	Animalia	Arthropoda	Arachnida	Sarcoptiformes	Liacaridae	Adoristes	Adoristes ovatus
seq_4188	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus cornix
seq_4280	Animalia	Arthropoda	Insecta	Hemiptera	Coreidae	Cebrenis	Cebrenis danieli
seq_4294	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia oricola
seq_4323	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus sp.
seq_4401	Fungi	Basidiomycota	Agaricomycetes	Russulales	Hericiaceae	Hericium	Hericium coralloides
seq_4420	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Curculio	Curculio sp.
seq_4439	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Synedra	Synedra sp.
seq_4444	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Xerocomus	Xerocomus subtomentosus
seq_4482	Fungi	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Rhynchosporium	Rhynchosporium sp.
seq_4492	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Smittia	Smittia sp.
seq_4516	Animalia	Arthropoda	Collembola	Poduromorpha	Hypogastruridae	Ceratophysella	Ceratophysella sp.
seq_4550	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Anurophorus	Anurophorus laricis
seq_4557	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Cryphalus	Cryphalus asperatus
seq_4569	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	Peronospora trifolii-minoris
seq_4579	Animalia	Arthropoda	Insecta	Diptera	Psychodidae	Psychoda	Psychoda phalaenoides
seq_4648	Animalia	Mollusca	Gastropoda	Stylommatophora	Geomitridae	Xeroplexa	Xeroplexa intersecta
seq_4691	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Orgyia	Orgyia antiqua
seq_4696	Animalia	Arthropoda	Insecta	Diptera	Bibionidae	Bibio	Bibio varipes
seq_4714	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium sp.
seq_4730	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Lacrymaria	Lacrymaria lacrymabunda
seq_4831	Animalia	Arthropoda	Arachnida	Sarcoptiformes	Cymbaeremaeidae	Cymbaeremaeus	Cymbaeremaeus cymba
seq_4841	Animalia	Arthropoda	Arachnida	Sarcoptiformes	Carabodidae	Carabodes	Carabodes labyrinthicus
seq_4844	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia	Cladonia sp.
seq_4847	Fungi	Ascomycota	Eurotiomycetes	Mycocaliciales	Mycocaliciaceae	Mycocalicium	Mycocalicium subtile
seq_4859	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Sitona	Sitona sp.
seq_4915	Animalia	Arthropoda	Insecta	Diptera	Sciaridae	Bradysia	Bradysia nitidicollis
seq_4916	Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Melanostoma	Melanostoma scalare
seq_4922	Animalia	Arthropoda	Insecta	Hemiptera	Delphacidae	Javesella	Javesella sp.
seq_5028	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Peltigeraceae	Peltigera	Peltigera dolichorhiza
seq_5030	Protozoa	Amoebozoa	Lobosa	Amoebida	Paramoebidae	Korotnevella	Korotnevella sp.
seq_5042	Fungi	Ascomycota	Leotiomycetes	Helotiales	Discinellaceae	Varicosporium	Varicosporium sp.
seq_5063	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Pholiota	Pholiota spumosa
seq_5123	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes sp.
seq_5147	Fungi	Ascomycota	Leotiomycetes	Rhytismatales	Cudoniaceae	Spathularia	Spathularia flavida
seq_5324	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Ophiostoma	Ophiostoma sp.
seq_5389	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps tenuipes
seq_5426	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida sake
seq_5468	Animalia	Arthropoda	Arachnida	Opiliones	Phalangiidae	Opilio	Opilio parietinus
seq_5480	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Forcipomyia	Forcipomyia sp.
seq_5510	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Pseudomuriellaceae	Pseudomuriella	Pseudomuriella schumacherensis
seq_5539	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Isotoma	Isotoma viridis
seq_5555	Animalia	Arthropoda	Insecta	Coleoptera	Elateridae	Agriotes	Agriotes sputator
seq_5566	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium simplicissimum
seq_5568	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	Purpureocillium lilacinum
seq_5591	Fungi	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae	Paxillus	Paxillus rubicundulus
seq_5618	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	Sporothrix schenckii
seq_5650	Animalia	Arthropoda	Insecta	Diptera	Sphaeroceridae	Coproica	Coproica hirtula
seq_5653	Animalia	Arthropoda	Malacostraca	Isopoda	Philosciidae	Philoscia	Philoscia muscorum
seq_5683	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Metriocnemus	Metriocnemus albolineatus
seq_5690	Animalia	Arthropoda	Insecta	Diptera	Sciaridae	Ctenosciara	Ctenosciara hyalipennis
seq_5770	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania unispora
seq_5779	Animalia	Arthropoda	Insecta	Coleoptera	Elateridae	Selatosomus	Selatosomus aeneus
seq_5784	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Thelonectria	Thelonectria discophora
seq_5831	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Talaromyces	Talaromyces sp.
seq_5852	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Ardea	Ardea cinerea
seq_5895	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	Navicula permitis
seq_5920	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria sp.
seq_5922	Animalia	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Isotomurus	Isotomurus sp.
seq_5956	Animalia	Arthropoda	Malacostraca	Isopoda	Armadillidiidae	Armadillidium	Armadillidium pictum
seq_6047	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae	Operophtera	Operophtera brumata
seq_6077	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavulinopsis	Clavulinopsis helvola
seq_6079	Animalia	Arthropoda	Insecta	Diptera	Canacidae	Pelomyia	Pelomyia occidentalis
seq_6084	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius trivialis
seq_6088	Animalia	Arthropoda	Arachnida	Sarcoptiformes	Acaridae	Sancassania	Sancassania berlesei
seq_6113	Animalia	Arthropoda	Diplopoda	Polyzoniida	Polyzoniidae	Polyzonium	Polyzonium germanicum
seq_6157	Animalia	Arthropoda	Insecta	Psocodea	Caeciliusidae	Valenzuela	Valenzuela burmeisteri
seq_6179	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Clethrobius	Clethrobius comes
seq_6234	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Tanytarsus	Tanytarsus sp.
seq_6239	Animalia	Arthropoda	Arachnida	Trombidiformes	Eriophyidae	Abacarus	Abacarus sp.
seq_6245	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	Stachybotrys chlorohalonatus
seq_6248	Animalia	Arthropoda	Malacostraca	Isopoda	Porcellionidae	Porcellio	Porcellio scaber
seq_6251	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Xestia	Xestia xanthographa
seq_6270	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Shiraiaceae	Shiraia	Shiraia bambusicola
seq_6275	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium apiense
seq_6284	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Chaetocladius	Chaetocladius perennis
seq_6300	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Calonectria	Calonectria colhounii
seq_6320	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Macroconia	Macroconia gigas
seq_6361	Animalia	Arthropoda	Insecta	Diptera	Tipulidae	Tipula	Tipula flavolineata
seq_6375	Animalia	Arthropoda	Insecta	Neuroptera	Chrysopidae	Chrysoperla	Chrysoperla sp.
seq_6388	Animalia	Arthropoda	Arachnida	Sarcoptiformes	Crotoniidae	Heminothrus	Heminothrus peltifer
seq_6412	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Bembidion	Bembidion quadrimaculatum
seq_6415	Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Criorhina	Criorhina pachymera
seq_6421	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Candolleomyces	Candolleomyces candolleanus
seq_6473	Animalia	Annelida	Clitellata	Enchytraeida	Enchytraeidae	Fridericia	Fridericia bisetosa
seq_6477	Animalia	Arthropoda	Arachnida	Araneae	Thomisidae	Xysticus	Xysticus cristatus
seq_6496	Animalia	Arthropoda	Insecta	Hemiptera	Pentatomidae	Palomena	Palomena prasina
seq_6553	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Orchestes	Orchestes fagi
seq_6584	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata
seq_6585	Animalia	Arthropoda	Insecta	Lepidoptera	Elachistidae	Elachista	Elachista canapennella
seq_6593	Animalia	Chordata	NA	Beloniformes	Belonidae	Belone	Belone belone
seq_6597	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Delia	Delia florilega
seq_6636	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Parametriocnemus	Parametriocnemus stylatus
seq_6659	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Sellaphoraceae	Sellaphora	Sellaphora sp.
seq_6679	Plantae	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Lobosphaera	Lobosphaera incisa
seq_6701	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Lasius	Lasius platythorax
seq_6722	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe nobilis
